tag,slope,trend
python,-0.000222663483662743,negative
pandas,-0.000140258565147572,negative
javascript,-0.000136753340739894,negative
arrays,-9.85023623074464E-05,negative
dataframe,-8.38280213291745E-05,negative
sql,-6.52092072563926E-05,negative
list,-5.96022595619894E-05,negative
mysql,-4.28785223156764E-05,negative
string,-3.67730352335233E-05,negative
loops,-3.39930295816487E-05,negative
python-3.x,-3.32828709306178E-05,negative
json,-3.29761896569987E-05,negative
html,-3.17576913965624E-05,negative
c,-3.09898868075774E-05,negative
dictionary,-2.96354614386855E-05,negative
for-loop,-2.92211598231168E-05,negative
regex,-2.87625285627973E-05,negative
function,-2.4746891561928E-05,negative
numpy,-2.28805417602523E-05,negative
dart,-2.25095776633744E-05,negative
c++,-1.8526472889727E-05,negative
if-statement,-1.75138142024467E-05,negative
object,-1.6862975204554E-05,negative
bash,-0.0000159878020657,negative
jquery,-1.59831845508494E-05,neutral
php,-1.48200855946475E-05,neutral
csv,-1.41003602902083E-05,negative
class,-1.22187241662537E-05,negative
matplotlib,-1.18491248828691E-05,negative
laravel-9,-1.1753737781466E-05,negative
beautifulsoup,-1.16248335272261E-05,negative
datetime,-1.11832054136744E-05,negative
google-cloud-firestore,-9.9958430973557E-06,negative
while-loop,-9.91331113901208E-06,negative
dplyr,-9.33771188253492E-06,negative
sorting,-9.22308741152423E-06,negative
algorithm,-9.09145040658231E-06,negative
google-sheets,-8.9733825682589E-06,negative
django-models,-8.26537138454231E-06,negative
recursion,-8.11520051410337E-06,negative
date,-8.02468929076356E-06,negative
react-hooks,-7.99120496694764E-06,negative
xcode4.3,-7.75030713729408E-06,negative
pygame,-7.47563972485451E-06,negative
firebase-realtime-database,-7.35299717593489E-06,negative
group-by,-7.16264553840974E-06,negative
ruby,-7.10076850774604E-06,negative
oop,-6.96786818237259E-06,negative
shell,-6.96638633600566E-06,negative
haskell,-6.91414486230636E-06,negative
.net-6.0,-6.88358662868744E-06,negative
laravel-8,-6.87338082952621E-06,negative
pointers,-6.86319400712389E-06,negative
redux,-6.82724258391299E-06,negative
discord,-6.8073556151622E-06,negative
discord.js,-6.80348114272297E-06,negative
asp.net-core-3.0,-6.79027349256479E-06,negative
web-scraping,-6.70440829648187E-06,negative
split,-6.67889214547431E-06,negative
tkinter,-6.48412495516425E-06,negative
discord.py,-6.4826366968287E-06,negative
react-redux,-6.38884824228652E-06,negative
silverlight-2.0,-6.32064411859772E-06,negative
sql-server,-6.26852008887307E-06,negative
django-views,-6.21068490727217E-06,negative
xpath,-6.17672439099105E-06,negative
multidimensional-array,-6.16630999354844E-06,negative
variables,-5.93204943354259E-06,negative
filter,-5.85119644915131E-06,negative
mongodb,-5.63635890512148E-06,negative
xcode4.5,-5.50343291617727E-06,negative
join,-5.38527372442952E-06,negative
django,-5.36127110780091E-06,negative
mongoose,-5.20131942153366E-06,negative
file,-5.19206158672476E-06,negative
tridion,-5.1677483699052E-06,negative
methods,-5.14132010035035E-06,negative
replace,-5.11219672473163E-06,negative
count,-5.08659351360599E-06,negative
.net-core-3.0,-4.99396551457438E-06,negative
random,-4.98159961426543E-06,negative
tuples,-4.91655609340118E-06,negative
xcode9,-4.86422925239922E-06,negative
linq,-4.83674019425516E-06,negative
apache-spark-sql,-4.82913257771745E-06,negative
mongodb-query,-4.78925405860687E-06,negative
input,-4.77349474745152E-06,negative
integer,-4.64566761796477E-06,negative
lambda,-4.63028596057343E-06,negative
sum,-4.59040515665322E-06,negative
heroku,-4.55184376292811E-06,negative
linked-list,-4.5134570942543E-06,negative
laravel-5.3,-4.46961692345868E-06,negative
xamarin.forms,-4.44780569859734E-06,negative
ecmascript-6,-4.4325050795046E-06,negative
xcode12,-4.263735771066E-06,negative
solidity,-4.24774948527874E-06,negative
xamarin,-4.2449177036645E-06,negative
sifr,-4.19516497156416E-06,negative
